brand,category,format,primary_theme,ad_age_days,performance_proxy_score,platform,url,ad_text
Slurrp Farm,Baby care,video,other / unclassified,271,76.0,"Facebook, Instagram, Audience_Network, Threads",https://www.facebook.com/ads/library/?id=1384028949498605,"Zero Junk Pancake Mix, Goodbye guilty breakfasts! Say hello to Slurrp Farm Pancakes, packed with wholesome millets for a nutritious & indulgent start. Fuel your day with taste and nutrition - no compromises! Try now →"
Slurrp Farm,Baby care,video,other / unclassified,271,76.0,"Facebook, Instagram, Audience_Network, Threads",https://www.facebook.com/ads/library/?id=1256819732453710,"Zero Junk Pancake Mix, Goodbye guilty breakfasts! Say hello to Slurrp Farm Pancakes, packed with wholesome millets for a nutritious & indulgent start. Fuel your day with taste and nutrition - no compromises! Try now →"
Pee Safe,Women's wellness,video,testosterone,249,76.0,"Facebook, Instagram, Audience_Network, Messenger, Threads",https://www.facebook.com/ads/library/?id=722355657071148,Out and about? Hygiene should follow too! 🌍 The Pee Safe Portable Jet Spray is your pocket-sized saviour. 💧 Dual modes: Soft & Strong 🎯 180° nozzle adjustment 👜 Super easy to carry 🎁 Free tote + mystery gift inside every box! Don’t miss out- order now!
Traya,Men's wellness,carousel,hair loss,132,76.0,"Facebook, Instagram, Messenger, Threads",https://www.facebook.com/ads/library/?id=3105687229605460,Treat your hair fall before it's too late! In Stages 1 to 4 correct medications and treatments can help regrow your hair. But once you hit stage 5 it is very difficult to treat your baldness. Follow these 3 steps and get started with your own customised treatment plan: ✅ Buy the Doctor recommended plan ✅ Get a free hair coach and get a free diet plan ✅ See visible results in 5 months
HK Vitals,Men's wellness,video,other / unclassified,124,76.0,"Facebook, Instagram, Audience_Network, Messenger, Threads",https://www.facebook.com/ads/library/?id=1989317685244638,"✨ Glow Just Got More Affordable! 🤑 Order HK Vitals Glutathione Effervescent, 15 Tablets Pack."
Gynoveda,Women's wellness,carousel,hormonal health,101,75.9,"Facebook, Instagram, Messenger, Threads",https://www.facebook.com/ads/library/?id=1207586981236835,"PLANNING FOR A BABY 20,000 couples became parents … India's 1st Ayurveda Fertility Clinic ⭐ 4.6 rating. 14,000+ reviews. … ✅ Treatment for couples ❌ No harmful hormones ❌ No painful surgery ❌ No expensive IUI, IVF … Book Doctor Appointment 🌐 Visit Gynoveda.com 📞 Call 804 3285 088 .. Gynoveda hai toh, Good News pakki hai."
Power Gummies,Women's wellness,video,ugc testimonial,874,75.0,"Facebook, Instagram, Audience_Network, Messenger",https://www.facebook.com/ads/library/?id=1034656761192753,"Ready to uncover the secret to my unwavering trust in Power Gummies? Brace yourself because these aren’t your ordinary vitamins; they’re a vibrant celebration of health and confidence! 😍 Why do I put my trust in them? Simple. They’ve transformed my healthcare routine, turning every day into an extraordinary adventure. With their innovative approach and astonishing results, I’ve witnessed my hair undergo a marvelous transformation. Are you prepared to embark on this incredible journey of trust and transformation with Power Gummies? Let’s make it happen! Explore the magic at powergummies.com now. #ConfidenceRedefined #PowerGummiesMagic #TrustInWellness #HairTransformation #HealthyLiving #BiotinBoost #GorgeousHairJourney #EssentialVitamins #UnlockYourConfidence #HairGoals #BiotinMagic #PowerGummiesConfidence #TrustTheProcess #HealthAndBeautyJourney #90daystogorgeoushair #hairgrowthmatlabpowergummies #Biotin"
Gynoveda,Women's wellness,video,hormonal health,271,75.0,"Facebook, Instagram, Audience_Network, Messenger",https://www.facebook.com/ads/library/?id=2675005362853508,💚Watch Komal's heartwarming story of conceiving naturally with Ayurveda 🤰Safest Solution to boost fertility naturally 🌿Power of 17 pure Ayurvedic herbs 🕑Ensures timely ovulation ❤️Supports egg growth & development 👶Helps prevent early pregnancy loss 💚Learn more at Gynoveda.com
HK Vitals,Men's wellness,video,acne treatment,129,75.0,"Facebook, Instagram, Audience_Network, Messenger, Threads",https://www.facebook.com/ads/library/?id=1923140114965465,"As you know I have been drinking @hkvitals Glutathione drink from a very long time and trust me it actually works! So if you are also someone who’s facing dark spots, pigmentation and dullness, please start including @hkvitals glutathione tablets to your routine. One tablet every single day in a glass of water, let it fizz and consume! It has no added sugar and no side effects. Remember, to see positive results, consistency is important. Head to hkvitals.com, use my code PARTH10 for discounts. ‘ #ad #hkvitals #explore #skincare"
HK Vitals,Men's wellness,video,acne treatment,129,75.0,"Facebook, Instagram, Audience_Network, Messenger, Threads",https://www.facebook.com/ads/library/?id=1821951298690662,"As you know I have been drinking @hkvitals Glutathione drink from a very long time and trust me it actually works! So if you are also someone who’s facing dark spots, pigmentation and dullness, please start including @hkvitals glutathione tablets to your routine. One tablet every single day in a glass of water, let it fizz and consume! It has no added sugar and no side effects. Remember, to see positive results, consistency is important. Head to hkvitals.com, use my code PARTH10 for discounts. ‘ #ad #hkvitals #explore #skincare"
HK Vitals,Men's wellness,video,acne treatment,129,75.0,"Facebook, Instagram, Audience_Network, Messenger, Threads",https://www.facebook.com/ads/library/?id=25152207444417342,"As you know I have been drinking @hkvitals Glutathione drink from a very long time and trust me it actually works! So if you are also someone who’s facing dark spots, pigmentation and dullness, please start including @hkvitals glutathione tablets to your routine. One tablet every single day in a glass of water, let it fizz and consume! It has no added sugar and no side effects. Remember, to see positive results, consistency is important. Head to hkvitals.com, use my code PARTH10 for discounts. ‘ #ad #hkvitals #explore #skincare"
HK Vitals,Men's wellness,video,acne treatment,116,73.5,"Facebook, Instagram, Audience_Network, Messenger, Threads",https://www.facebook.com/ads/library/?id=1032468895676417,"Glowing skin isn’t magic it’s science Meet Glutathione, your skin’s most powerful antioxidant It helps in reduces melanin production, and gradually fades pigmentation, dark spots and uneven skin tone giving you that radiant, glass-like finish from within Each tablet has: 600 mg L-Glutathione – reduces pigmentation & dullness Vitamin C– brightens and boosts antioxidant effect Vitamin E + Hyaluronic Acid – locks in hydration and keeps skin plump Just dissolve one tablet in a glass of water daily, let it fizz, and sip your glow With regular use (2–3 months), you’ll start noticing a visible difference brighter skin, faded dark spots, and a more even tone Order now : hkvitals.com Use my code - SHRUTISKIN on hkvitals.com for the best discounts Disclaimer - This content is for educational purposes. Consult your healthcare provider before starting any supplement. #ad"
Kapiva,Women's wellness,video,hormonal health,115,73.1,"Facebook, Instagram, Messenger, Threads",https://www.facebook.com/ads/library/?id=1107723944633836,"Fatty Liver is a Silent Killer🤫-Don’t Wait for Symptoms to Show‼️ Start managing it naturally with the power of 5 potent herbs in Kapiva Liver Care Juice 🌿 Silent fatty liver can lead to permanent liver damage if ignored—but you can take action now. Discover the power of 5 ayurvedic herbs: 🌿 Bhui Amla – helps manage abdominal pain 🫚 Turmeric – helps improve digestion 🪴 Aloe Vera – helps relieve constipation and bloating 🥬 Kalmegh – helps improve energy levels 🌿 Kutki – helps reduce unhealthy liver fat Support your liver before it’s too late. Choose Kapiva Liver Care Juice for natural, daily liver care. 😄 #reels #medical #liver"
Neuherbs,Men's wellness,video,discount / offer,114,72.8,"Facebook, Instagram",https://www.facebook.com/ads/library/?id=4021276408122682,"Your body works hard—fuel it right. 💪 neuherbs Deep Sea Fish Oil is more than a supplement! Packed with 2500mg of fish oil, this Triple Strength Formula helps you: ✅ Reduces inflammation ✅ Supports heart & joint health ✅ Boosts focus ✅ Ultra-pure & heavy metal-free Stay strong inside and out—with neuherbs. Use my Code: ARTI for an extra discount. #omega3 #neuherbs #hearthealth #brainboost #jointsupport #cleannutrition #wellnessjourney #stayyourbest #fishoil #ﬁtness"
Neuherbs,Men's wellness,video,discount / offer,113,72.4,"Facebook, Instagram, Audience_Network, Messenger, Threads",https://www.facebook.com/ads/library/?id=1232791041973405,"Your body works hard—fuel it right. 💪 neuherbs Deep Sea Fish Oil is more than a supplement! Packed with 2500mg of fish oil, this Triple Strength Formula helps you: ✅ Reduces inflammation ✅ Supports heart & joint health ✅ Boosts focus ✅ Ultra-pure & heavy metal-free Stay strong inside and out—with neuherbs. Use my Code: ARTI for an extra discount. #omega3 #neuherbs #hearthealth #brainboost #jointsupport #cleannutrition #wellnessjourney #stayyourbest #fishoil #ﬁtness"
Power Gummies,Women's wellness,video,other / unclassified,858,72.0,"Facebook, Instagram, Audience_Network, Messenger",https://www.facebook.com/ads/library/?id=1243509563157188,"Haicare made more easier with two cute & tasty Power Gummies Hair & Nail vitamins. Carry your favourite hair care buddy with you wherever you travel or at work without any hassle. -Effective, Nutritious & Tasty ❤️ Shop now at powergummies.com #powergummies #haircare #hairvitamins #biotin #vitamins #beauty #hair #longhair #hairgrowth #healthyhair #healthylifestyle #nutrition #90daystogorgeoushair #hairlove #hairtips #hairinspiration #instahair #hairgoals #holisticnutrition #hairgummies #selfcare #happyhair"
Power Gummies,Women's wellness,video,sleep / stress,857,72.0,Instagram,https://www.facebook.com/ads/library/?id=6959873427407332,"Manage your disturbed sleep pattern with Blessful Sleep Gummies💤. This pack will help you to rejuvenate your skin health while you sleep tight. Delicious😋vitamin-infused gummies are filled with Passiflora Extracts, VitaminB6, and Melatonin to ensure restful Beauty Sleep.😴 Buy these Non-habit forming gummies to promote a better sleep routine.😪"
Power Gummies,Women's wellness,video,sleep / stress,857,72.0,Instagram,https://www.facebook.com/ads/library/?id=685074457021456,"Manage your disturbed sleep pattern with Blessful Sleep Gummies💤. This pack will help you to rejuvenate your skin health while you sleep tight. Delicious😋vitamin-infused gummies are filled with Passiflora Extracts, VitaminB6, and Melatonin to ensure restful Beauty Sleep.😴 Buy these Non-habit forming gummies to promote a better sleep routine.😪"
Power Gummies,Women's wellness,video,sleep / stress,857,72.0,Instagram,https://www.facebook.com/ads/library/?id=2361148710744207,"Manage your disturbed sleep pattern with Blessful Sleep Gummies💤. This pack will help you to rejuvenate your skin health while you sleep tight. Delicious😋vitamin-infused gummies are filled with Passiflora Extracts, VitaminB6, and Melatonin to ensure restful Beauty Sleep.😴 Buy these Non-habit forming gummies to promote a better sleep routine.😪"
Power Gummies,Women's wellness,video,sleep / stress,857,72.0,Instagram,https://www.facebook.com/ads/library/?id=686363866814491,"Manage your disturbed sleep pattern with Blessful Sleep Gummies💤. This pack will help you to rejuvenate your skin health while you sleep tight. Delicious😋vitamin-infused gummies are filled with Passiflora Extracts, VitaminB6, and Melatonin to ensure restful Beauty Sleep.😴 Buy these Non-habit forming gummies to promote a better sleep routine.😪"
Power Gummies,Women's wellness,video,parenting pain point,833,72.0,"Facebook, Instagram, Audience_Network, Messenger",https://www.facebook.com/ads/library/?id=726256006029390,"Empower your immunity with Power Gummies Vitamin C – a burst of goodness in every chew. Packed with immune-boosting Vitamin C and the added strength of zinc, it’s your daily shield against changing weather woes. Stay resilient, stay vibrant! : : : #immunity #immunitybooster #vitaminc #tasty #trending #powergummies #vitamins"
Pee Safe,Women's wellness,carousel,hormonal health,515,72.0,"Facebook, Instagram, Messenger",https://www.facebook.com/ads/library/?id=1231983921468204,"Say goodbye to the hassle of boiling water and hello to the future of hygiene with our Menstrual Cup Steam Sterilizer! 🚀✨ 🌈 Why choose our Sterilizer? ✅ Quick & Easy: Sterilize your cup in just minutes! ✅ Universal Compatibility: Works with ALL menstrual cup brands! ✅ Compact & Portable: Perfect for home or on-the-go! ✅ Safe & Efficient: Steam sterilization for peace of mind! Don't miss out – it's time to upgrade your menstrual cup game! 🌸 Embrace cleanliness, convenience, and confidence during your cycle. 🌸 Tap ""Shop Now"" to claim your discount and experience the future of menstrual cup care! Limited stock available."
Mother Sparsh,Baby care,video,parenting pain point,461,72.0,"Facebook, Instagram, Audience_Network, Messenger",https://www.facebook.com/ads/library/?id=1683663825530028,"Back in the day, moms used just cotton and water to clean their little ones. Now, Mother Sparsh brings you the best of both worlds with clinically approved, 99% Pure Water unscented baby wipes! 💧 These wipes are 3 times thicker than ordinary ones, giving your baby the gentle care they deserve. They are as good as cotton and water! 💖 👶🏻 #MotherSparsh #BabyCare #SoftAndStrong #GentleWipes #BabyWipes #PureLove #BabyEssentials #BabyWipes #AsGoodAsCottonAndWater #PureCare #BabyWipes #UnscentedBabyWipes #MotherSparsh #purewaterwipes #GentleSkincare #naturalgoodness #unscentedwipes #BabyWipes #BabyCare #MotherSparsh #MotherSparsh #PureLove #BabyCare #MomApproved #GentleCare #PureWaterWipes #BabyEssentials #EcoFriendly #ParentingHacks #ModernParenting"
Slurrp Farm,Baby care,video,other / unclassified,271,72.0,"Facebook, Instagram, Audience_Network, Threads",https://www.facebook.com/ads/library/?id=1501416727936844,"😍Looking for nutritious cereals for your little one? Try Slurrp Farm’s cereals that contain the goodness of supergrains and have no added sugar, no salt and no preservatives. Available in multiple flavours! Made by two mothers with a zero junk promise, they are also ready in minutes! Try them today!"
Gynoveda,Women's wellness,video,hormonal health,270,72.0,"Facebook, Instagram, Audience_Network, Messenger",https://www.facebook.com/ads/library/?id=1060552845454877,💚Angelin trusted Ayurveda to conceive naturally after failed IUI 🤰Safest Solution to boost fertility naturally 🌿Power of 17 pure Ayurvedic herbs 🕑Ensures timely ovulation ❤️Supports egg growth & development 👶Helps prevent early pregnancy loss 💚Learn more at Gynoveda.com
Gynoveda,Women's wellness,video,hormonal health,270,72.0,"Facebook, Instagram, Audience_Network, Messenger",https://www.facebook.com/ads/library/?id=4024789427850452,💚Angelin trusted Ayurveda to conceive naturally after failed IUI 🤰Safest Solution to boost fertility naturally 🌿Power of 17 pure Ayurvedic herbs 🕑Ensures timely ovulation ❤️Supports egg growth & development 👶Helps prevent early pregnancy loss 💚Learn more at Gynoveda.com
Gynoveda,Women's wellness,video,hormonal health,270,72.0,"Facebook, Instagram, Audience_Network, Messenger",https://www.facebook.com/ads/library/?id=4031983160397254,💚Angelin trusted Ayurveda to conceive naturally after failed IUI 🤰Safest Solution to boost fertility naturally 🌿Power of 17 pure Ayurvedic herbs 🕑Ensures timely ovulation ❤️Supports egg growth & development 👶Helps prevent early pregnancy loss 💚Learn more at Gynoveda.com
